oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
01 00 00 00	setup											
      00 00		sound_mode							0	4	patch,perform,gm1,gm2,gs
      00 01		performance	bank_msb						0	127		
         02			bank_lsb						0	127		
         03			pc						0	127		
      00 04		kbd_patch	bank_msb						0	127		
         05			bank_lsb						0	127		
         06			pc						0	127		
         07		rhy_patch	bank_msb						0	127		
         08			bank_lsb						0	127		
         09			pc						0	127		
         0a		mfx1_switch							0	1		
         0b		mfx2_switch							0	1		
         0c		mfx3_switch							0	1		
         0d		chorus_switch							0	1		
         0e		reverb_switch							0	1		
         0f		reserved_1										
         10		reserved_2										
         11		reserved_3										
         12		transpose							59	70	-5 .. +6	
         13		octave							61	67	-3 .. +3	
         14		reserved_4										
         15		knob_select							0	2		
         16		reserved_5										
         17		arpeggio	grid						0	8	04_, 08_, 08L, 08H, 08t, 16_, 16L, 16H, 16t	
         18			duration						0	9	30, 40, 50, 60, 70, 80, 90, 100, 120, FUL	
         19			switch						0	1		
         1a			reserved_6								
         1b			style						0	127		
         1c			motif						0	11	UP/L, UP/H, UP/_, dn/L, dn/H, dn/_, Ud/L, Ud/H, Ud/_, rn/L	
         1d			octave						61	67	-3 .. +3	
         1e			hold						0	1		
         1f			accent						0	100		
         20			velocity						0	100		
         21		rhythm	switch						0	1		
         22			reserved_7							
         23			style						0	255	1 .. 256; MSB first nibble, LSB second nibble	
         25			reserved_8							
         26			group						0	29		
         27			accent						0	100		
         28			velocity						0	127	REAL, 1 .. 127	
         29			reserved_9									
         33		arpeggio_step							0	32	AUTO, 1 .. 32	
02 00 00 00	system											
   00 00 00		common										
      00 00			master									
         00				tune					24	2024	-100.0 .. +100.0 cents; four nibbles	
         04				key_shift					40	88	-24 .. +24	
         05				level								
         06			scale_switch						0	1		
         07			patch_remain						0	1		
         08			mix_parallel						0	1	___, PARALLEL
         09			channel						0	16	1 .. 16, OFF	
         0a			kbd_patch_channel						0	15	1 .. 16	
         0b			reserved_1									
      00 0c			scale	c					0	127	-64 .. +63	
         0d				c#					0	127	-64 .. +63	
         0e				d					0	127	-64 .. +63	
         0f				d#					0	127	-64 .. +63	
         10				e					0	127	-64 .. +63	
         11				f					0	127	-64 .. +63	
         12				f#					0	127	-64 .. +63	
         13				g					0	127	-64 .. +63	
         14				g#					0	127	-64 .. +63	
         15				a					0	127	-64 .. +63	
         16				a#					0	127	-64 .. +63	
         17				b					0	127	-64 .. +63	
         18			control_source	1					0	97	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT	
         19				2					0	97	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT	
         1a				3					0	97	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT	
         1b				4					0	97	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT	
         1c			rx	pc					0	1		
         1d				bank					0	1		
   00 40 00		controller										
         00			tx	pc					0	1		
         01				bank					0	1		
         02			velocity						0	127	REAL, 1 .. 127	
         03			velocity_curve						1	3	LIGHT, MEDIUM, HEAVY	
         04			reserved_1									
         05			hold_polarity						0	1	STANDARD, REVERSE	
         06			continuous_hold						0	1		
         07			control_pedal	assign					0	24	MODULATION, PORTA-TIME, VOLUME, PAN, EXPRESSION, HOLD, PORTAMENTO, SOSTENUTO, RESONANCE, RELEASE-TIME, ATTACK-TIME, CUTOFF, DECAY-TIME, VIB-RATE, VIB-DEPTH, VIB-DELAY, CHO-SEND-LEVEL, REV-SEND-LEVEL, AFTERTOUCH, START/STOP, TAP-TEMPO, PROG-UP, PROG-DOWN, FAV-UP, FAV-DOWN	
         08				polarity					0	1	STANDARD, REVERSE	
         09			reserved_2									
